step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.677649,27971.887085,0.000000,27971.887085,6.835255
2,5.190830,29454.898132,0.000000,29454.898132,6.491110
3,4.437739,26301.431732,0.000000,26301.431732,7.269376
4,4.138213,36010.163438,0.000000,36010.163438,5.309473
5,4.144533,32922.129599,0.000000,32922.129599,5.807492
6,3.834246,32167.587381,0.000000,32167.587381,5.943716
7,4.297795,28455.020695,0.000000,28455.020695,6.719200
8,4.280394,23198.408944,0.000000,23198.408944,8.241729
9,4.249561,24399.741310,0.000000,24399.741310,7.835943
10,4.392188,25029.350372,0.000000,25029.350372,7.638831
11,3.911198,34654.489001,0.000000,34654.489001,5.517178
12,3.738631,32795.441672,0.000000,32795.441672,5.829926
13,3.840884,32240.689730,0.000000,32240.689730,5.930239
14,4.367394,29047.822653,0.000000,29047.822653,6.582076
15,4.130939,31892.305135,0.000000,31892.305135,5.995019
16,4.013472,29986.699692,0.000000,29986.699692,6.375993
17,3.796318,22557.845310,0.000000,22557.845310,8.475765
18,4.357057,24173.552386,0.000000,24173.552386,7.909263
19,3.766616,34100.957903,0.000000,34100.957903,5.606734
20,4.552444,24735.776665,0.000000,24735.776665,7.729492
21,4.530053,33000.219825,0.000000,33000.219825,5.793749
22,4.067401,36104.773702,0.000000,36104.773702,5.295560
23,3.969010,29518.558052,0.000000,29518.558052,6.477111
24,3.450136,30076.076208,0.000000,30076.076208,6.357046
25,4.493859,28977.669377,0.000000,28977.669377,6.598011
26,4.036770,30296.460649,0.000000,30296.460649,6.310803
27,3.442925,31329.523692,0.000000,31329.523692,6.102710
28,3.993679,41108.880158,0.000000,41108.880158,4.650941
29,4.201677,43187.410319,0.000000,43187.410319,4.427100
30,4.542442,29381.268471,0.000000,29381.268471,6.507377
31,4.306015,28351.710050,0.000000,28351.710050,6.743685
32,4.854150,29094.259721,0.000000,29094.259721,6.571571
33,4.583709,29738.029812,0.000000,29738.029812,6.429309
34,4.122868,31145.898144,0.000000,31145.898144,6.138689
35,4.334546,29205.963624,0.000000,29205.963624,6.546437
36,3.401594,27236.859723,0.000000,27236.859723,7.019715
37,3.661727,36591.925895,0.000000,36591.925895,5.225059
38,3.331205,34075.410779,0.000000,34075.410779,5.610937
39,3.570896,24372.858145,0.000000,24372.858145,7.844586
40,3.904978,25326.157383,0.000000,25326.157383,7.549309
