step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.677649,38058.325890,0.000000,38058.325890,5.023736
2,5.190830,37622.557834,0.000000,37622.557834,5.081924
3,4.437739,37995.468180,0.000000,37995.468180,5.032047
1,4.677649,38152.217411,0.000000,38152.217411,5.011373
2,5.190830,38884.383600,0.000000,38884.383600,4.917012
3,4.437739,38770.195785,0.000000,38770.195785,4.931494
4,4.138213,38133.482236,0.000000,38133.482236,5.013835
5,4.144533,38054.601079,0.000000,38054.601079,5.024228
6,3.834246,37571.681108,0.000000,37571.681108,5.088806
7,4.297795,37599.106923,0.000000,37599.106923,5.085094
8,4.280394,37715.954668,0.000000,37715.954668,5.069340
9,4.249561,38353.613045,0.000000,38353.613045,4.985058
10,4.392188,37715.555805,0.000000,37715.555805,5.069393
11,3.911198,38099.297307,0.000000,38099.297307,5.018334
12,3.738631,38444.899881,0.000000,38444.899881,4.973221
13,3.840884,37463.937684,0.000000,37463.937684,5.103441
14,4.367394,37413.330449,0.000000,37413.330449,5.110344
15,4.130939,37256.771346,0.000000,37256.771346,5.131819
16,4.013472,37381.226615,0.000000,37381.226615,5.114733
17,3.796318,38473.262150,0.000000,38473.262150,4.969555
18,4.357057,38260.360702,0.000000,38260.360702,4.997208
19,3.766616,38087.404511,0.000000,38087.404511,5.019901
20,4.552444,37853.977191,0.000000,37853.977191,5.050856
21,4.530053,37744.186293,0.000000,37744.186293,5.065548
22,4.067401,37711.213739,0.000000,37711.213739,5.069977
23,3.969010,37958.906637,0.000000,37958.906637,5.036894
24,3.450136,38763.296881,0.000000,38763.296881,4.932372
25,4.493859,39240.181326,0.000000,39240.181326,4.872429
26,4.036770,37978.818561,0.000000,37978.818561,5.034253
27,3.442925,38100.722132,0.000000,38100.722132,5.018146
28,3.993679,37811.328789,0.000000,37811.328789,5.056553
29,4.201677,37593.290114,0.000000,37593.290114,5.085881
30,4.542442,37721.330777,0.000000,37721.330777,5.068617
31,4.306015,38074.018594,0.000000,38074.018594,5.021666
32,4.854150,37658.959797,0.000000,37658.959797,5.077012
33,4.583709,37734.012614,0.000000,37734.012614,5.066914
34,4.122868,37773.729630,0.000000,37773.729630,5.061586
35,4.334546,37735.013664,0.000000,37735.013664,5.066779
36,3.401594,37715.055372,0.000000,37715.055372,5.069461
37,3.661727,37724.411941,0.000000,37724.411941,5.068203
38,3.331205,37943.818987,0.000000,37943.818987,5.038897
39,3.570896,37655.113908,0.000000,37655.113908,5.077530
40,3.904978,37380.362517,0.000000,37380.362517,5.114851
