step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.535799,604982.041431,0.000000,604982.041431,5.056546
2,4.047842,601238.116437,0.000000,601238.116437,5.088034
3,4.152731,600538.862680,0.000000,600538.862680,5.093958
4,3.599689,601256.904884,0.000000,601256.904884,5.087875
5,3.703026,601192.895549,0.000000,601192.895549,5.088416
6,3.906327,601509.870486,0.000000,601509.870486,5.085735
7,4.031962,601468.551067,0.000000,601468.551067,5.086084
8,3.568295,601568.200621,0.000000,601568.200621,5.085242
9,3.929303,601039.627670,0.000000,601039.627670,5.089714
10,3.637965,603130.959619,0.000000,603130.959619,5.072066
11,4.027127,602100.055141,0.000000,602100.055141,5.080750
12,3.786942,601492.337754,0.000000,601492.337754,5.085883
13,3.987697,602290.548638,0.000000,602290.548638,5.079143
14,3.860814,602970.942860,0.000000,602970.942860,5.073412
15,3.671854,603216.042950,0.000000,603216.042950,5.071350
16,3.481398,602686.181480,0.000000,602686.181480,5.075809
17,3.966861,601746.137200,0.000000,601746.137200,5.083738
18,3.808088,602939.215908,0.000000,602939.215908,5.073679
19,3.512998,601552.584600,0.000000,601552.584600,5.085374
