step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.399524,36950.691848,0.000000,36950.691848,20.697311
2,4.774795,36219.677989,0.000000,36219.677989,21.115040
3,3.688434,36503.308001,0.000000,36503.308001,20.950977
4,3.983828,36328.306811,0.000000,36328.306811,21.051902
5,3.996652,36351.607190,0.000000,36351.607190,21.038408
6,3.544075,36356.630217,0.000000,36356.630217,21.035502
7,3.902844,37617.656772,0.000000,37617.656772,20.330345
8,3.758278,37473.823042,0.000000,37473.823042,20.408378
9,3.607350,37474.268168,0.000000,37474.268168,20.408136
10,3.667511,38214.210054,0.000000,38214.210054,20.012973
11,4.113505,41314.142718,0.000000,41314.142718,18.511335
12,3.809197,38377.663131,0.000000,38377.663131,19.927736
13,3.588769,37808.284906,0.000000,37808.284906,20.227840
14,3.502617,38701.723948,0.000000,38701.723948,19.760876
15,3.804793,39422.196507,0.000000,39422.196507,19.399730
16,4.126342,38836.755817,0.000000,38836.755817,19.692169
17,3.022852,37909.795345,0.000000,37909.795345,20.173677
18,4.088050,38905.111358,0.000000,38905.111358,19.657570
19,3.536709,37878.087962,0.000000,37878.087962,20.190564
20,4.073390,36918.124470,0.000000,36918.124470,20.715569
21,3.976322,36235.351195,0.000000,36235.351195,21.105907
22,3.897914,36537.776612,0.000000,36537.776612,20.931212
23,3.987215,36580.901250,0.000000,36580.901250,20.906537
24,3.769670,36806.084366,0.000000,36806.084366,20.778629
25,3.811890,36752.482163,0.000000,36752.482163,20.808933
26,4.004169,36814.480629,0.000000,36814.480629,20.773890
27,3.752684,36859.777126,0.000000,36859.777126,20.748361
28,3.637446,36673.262794,0.000000,36673.262794,20.853884
29,3.999671,36684.081867,0.000000,36684.081867,20.847733
30,4.159618,37031.335573,0.000000,37031.335573,20.652238
31,3.901022,36427.742040,0.000000,36427.742040,20.994438
32,3.717912,36963.369493,0.000000,36963.369493,20.690212
33,3.680317,36825.743843,0.000000,36825.743843,20.767536
34,3.348384,37010.043034,0.000000,37010.043034,20.664120
35,3.731381,36758.627019,0.000000,36758.627019,20.805455
36,3.957969,36779.931422,0.000000,36779.931422,20.793403
37,3.539220,36717.791245,0.000000,36717.791245,20.828594
38,3.857837,36899.108236,0.000000,36899.108236,20.726245
39,2.906786,37031.700163,0.000000,37031.700163,20.652035
40,3.554003,38308.918003,0.000000,38308.918003,19.963497
