step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.677649,8442.506784,0.000000,8442.506784,22.646708
2,5.190830,8088.157805,0.000000,8088.157805,23.638880
3,4.437739,8056.781631,0.000000,8056.781631,23.730938
4,4.138213,8082.506832,0.000000,8082.506832,23.655407
5,4.144533,8141.263939,0.000000,8141.263939,23.484681
6,3.834246,8045.640262,0.000000,8045.640262,23.763800
7,4.297795,8188.000485,0.000000,8188.000485,23.350632
8,4.280394,8151.452353,0.000000,8151.452353,23.455328
9,4.249561,8170.079365,0.000000,8170.079365,23.401852
10,4.392188,8164.074120,0.000000,8164.074120,23.419066
11,3.911198,8122.314768,0.000000,8122.314768,23.539470
12,3.738631,8330.622400,0.000000,8330.622400,22.950865
13,3.840884,8165.190318,0.000000,8165.190318,23.415864
14,4.367394,8069.163913,0.000000,8069.163913,23.694523
15,4.130939,8321.600324,0.000000,8321.600324,22.975748
16,4.013472,8169.052428,0.000000,8169.052428,23.404794
17,3.796318,8034.437529,0.000000,8034.437529,23.796935
18,4.357057,8076.348701,0.000000,8076.348701,23.673444
19,3.766616,8003.047923,0.000000,8003.047923,23.890272
20,4.552444,8257.067216,0.000000,8257.067216,23.155315
21,4.530053,8179.728880,0.000000,8179.728880,23.374245
22,4.067401,7969.947732,0.000000,7969.947732,23.989491
23,3.969010,8112.607735,0.000000,8112.607735,23.567636
24,3.450136,8082.706098,0.000000,8082.706098,23.654824
25,4.493859,8099.633390,0.000000,8099.633390,23.605388
26,4.036770,8007.263569,0.000000,8007.263569,23.877694
27,3.442925,8172.216727,0.000000,8172.216727,23.395732
28,3.993679,8003.380228,0.000000,8003.380228,23.889280
29,4.201677,8032.871449,0.000000,8032.871449,23.801575
30,4.542442,8206.969423,0.000000,8206.969423,23.296661
31,4.306015,7979.578590,0.000000,7979.578590,23.960537
32,4.854150,7979.371643,0.000000,7979.371643,23.961158
33,4.583709,8108.003326,0.000000,8108.003326,23.581020
34,4.122868,8041.828636,0.000000,8041.828636,23.775064
35,4.334546,8213.767374,0.000000,8213.767374,23.277381
36,3.401594,8231.142110,0.000000,8231.142110,23.228245
37,3.661727,8028.734159,0.000000,8028.734159,23.813840
38,3.331205,8077.291303,0.000000,8077.291303,23.670681
39,3.570896,8081.797502,0.000000,8081.797502,23.657483
40,3.904978,8241.054416,0.000000,8241.054416,23.200307
