step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.286043,798.826660,2943.987549,3742.814209,879.297668
2,4.820578,793.292480,2284.414307,3077.706787,1069.318237
3,4.400176,794.890625,2275.132324,3070.022949,1071.994629
4,3.603231,795.415527,2274.921387,3070.336914,1071.885010
5,3.655465,797.579590,2295.849365,3093.428955,1063.883545
6,3.922331,802.673828,2293.285156,3095.958984,1063.014160
7,4.036316,805.578369,2283.587891,3089.166260,1065.351562
8,3.563259,802.165283,2287.859375,3090.024658,1065.055542
9,3.897840,797.354492,2278.777832,3076.132324,1069.865601
10,3.504804,800.068604,2279.715820,3079.784424,1068.596924
11,3.943486,800.656738,2272.793945,3073.450684,1070.799072
12,3.710365,801.879150,2285.168213,3087.047363,1066.082764
13,3.933337,810.547852,2467.053223,3277.601074,1004.102661
14,3.797171,801.473633,2293.828369,3095.302002,1063.239624
15,3.637083,802.346680,2285.866943,3088.213623,1065.680176
16,3.425025,801.508057,2276.658203,3078.166260,1069.158569
17,3.929680,802.079346,2282.735840,3084.815186,1066.854126
18,3.730177,867.410645,2352.369629,3219.780273,1022.134399
19,3.485534,820.823242,2410.569336,3231.392578,1018.461243
20,3.599799,832.187012,2365.822266,3198.009277,1029.092773
21,3.828088,833.607666,2335.050781,3168.658447,1038.625000
22,3.696065,814.527344,2439.060303,3253.587646,1011.513550
23,3.214883,839.981445,2403.950439,3243.931885,1014.524414
24,3.438740,884.566162,2461.113281,3345.679443,983.671021
25,3.803813,846.947021,2449.275879,3296.222900,998.430054
26,3.600471,823.615234,2321.053467,3144.668701,1046.548340
27,3.877963,830.918945,2443.051025,3273.969971,1005.216309
28,3.530706,933.822998,2327.098633,3260.921631,1009.238586
29,3.390163,848.582520,2374.391602,3222.974121,1021.121460
30,3.293944,823.895020,2315.524414,3139.419434,1048.298340
31,3.196320,849.963135,2356.859375,3206.822510,1026.264526
32,3.459463,814.573730,2303.315430,3117.889160,1055.537231
33,3.603875,814.276855,2291.825684,3106.102539,1059.542603
34,3.489168,815.234619,2304.251465,3119.486084,1054.996948
35,3.726246,826.307129,2307.219238,3133.526367,1050.269775
36,3.394883,812.709229,2328.392578,3141.101807,1047.736816
37,3.244779,818.236328,2303.125732,3121.362061,1054.362793
38,3.201383,812.096924,2303.405029,3115.501953,1056.346069
39,3.630510,810.852051,2304.687988,3115.540039,1056.333130
40,3.098476,813.822266,2308.458252,3122.280518,1054.052612
41,3.887145,828.804932,2333.320312,3162.125244,1040.770874
42,3.391495,825.701416,2358.539062,3184.240479,1033.542480
43,3.380323,869.452881,2378.495605,3247.948486,1013.269775
44,3.443193,829.807129,2453.687988,3283.495117,1002.300232
45,3.609696,849.667725,2334.032227,3183.699951,1033.718018
46,3.120192,814.180420,2301.141602,3115.322021,1056.406982
47,3.446460,822.315430,2319.989990,3142.305420,1047.335571
48,3.974320,815.951172,2312.042725,3127.993896,1052.127441
49,3.249157,816.817383,2317.262207,3134.079590,1050.084351
50,3.430541,814.974854,2317.453369,3132.428223,1050.638062
51,3.768678,815.663574,2323.625977,3139.289551,1048.341675
52,3.753953,817.574463,2322.502930,3140.077393,1048.078613
53,3.423160,822.544922,2365.955811,3188.500732,1032.161621
54,3.409412,824.705322,2350.403320,3175.108643,1036.515137
55,3.285624,836.584961,2374.368408,3210.953369,1024.944214
56,3.271590,844.500488,2323.975586,3168.476074,1038.684814
57,3.029844,826.850098,2403.070068,3229.920166,1018.925537
58,3.494423,861.587891,2310.658691,3172.246582,1037.450195
59,3.312789,816.817627,2317.341309,3134.158936,1050.057861
60,3.539002,859.729004,2333.202148,3192.931152,1030.729492
61,3.218018,823.104248,2353.728027,3176.832275,1035.952759
62,3.463692,823.889160,2351.205078,3175.094238,1036.519897
63,3.399045,826.908936,2322.635742,3149.544678,1044.928223
64,3.437483,825.180420,2324.272949,3149.453369,1044.958496
65,3.627646,824.606201,2327.925293,3152.531494,1043.938232
66,3.045353,820.045166,2322.093506,3142.138672,1047.390991
67,3.308002,826.594482,2366.407959,3193.002441,1030.706421
68,3.686876,916.940918,2438.105713,3355.046631,980.924622
69,3.315879,863.882812,2539.601318,3403.484131,966.964417
70,3.656057,857.541260,2353.924316,3211.465576,1024.780762
71,3.611842,825.439453,2351.135742,3176.575195,1036.036499
72,3.747538,820.799072,2338.498047,3159.297119,1041.702637
73,3.840114,823.338379,2334.804688,3158.143066,1042.083252
74,3.382871,824.275879,2575.934326,3400.210205,967.895508
