step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.648775,14.398497,36.782364,206.795639,221.194138,3523.038574,184.347397,0.064384,184.411774,13
2,4.598609,10.819424,31.850539999999995,206.533188,217.352615,3585.305176,185.381195,0.120896,185.502075,13
2,4.598609,10.813313,34.21618600000002,206.490845,217.304153,3586.104736,183.001953,0.086016,183.087967,13
3,3.723414,10.750463,31.46281400000001,203.145737,213.896194,3643.241455,182.362793,0.070592,182.43338,13
3,3.723414,10.703169,31.20056200000002,203.149277,213.852448,3643.986572,182.54129,0.110592,182.651886,13
4,4.078856,11.049984,31.579544,204.288254,215.338242,3618.84375,183.687149,0.071552,183.758698,13
4,4.078856,11.025376,32.05105599999999,204.233383,215.258759,3620.180176,183.114532,0.093184,183.207703,13
5,3.919904,10.697952,30.675415000000015,200.598618,211.29657,3688.064941,180.325211,0.295936,180.621155,13
5,3.919904,10.838177,30.795715,200.602112,211.440292,3685.558105,180.582397,0.062176,180.644577,13
6,3.392609,10.69408,29.983688,199.339172,210.033249,3710.248047,179.858185,0.191392,180.049561,13
6,3.392609,10.637344,30.5522,199.300537,209.937881,3711.933594,179.31221,0.073472,179.385681,13
7,3.881549,10.678912,30.239319000000023,200.399582,211.078491,3691.875244,180.503479,0.335712,180.839172,13
7,3.881549,10.64464,30.25505099999998,200.365417,211.010056,3693.07251,180.699844,0.055168,180.755005,13
8,3.9765,10.681503,29.834532999999993,199.41127,210.092773,3709.197021,179.338684,0.919552,180.25824,13
8,3.9765,10.706495,31.106795999999974,199.436035,210.142532,3708.318604,178.969208,0.066528,179.035736,13
9,3.584293,10.675584,30.138183999999995,200.141861,210.817444,3696.447021,179.87146,0.807808,180.67926,13
9,3.584293,10.62624,30.851699999999994,200.130432,210.756668,3697.512451,179.845581,0.059392,179.904968,13
10,3.751829,10.661407,29.807221,199.497726,210.159134,3708.025635,179.861511,0.4904,180.351913,13
10,3.751829,10.657344,30.56912300000002,199.515457,210.172806,3707.784668,179.526825,0.076864,179.603683,13
11,4.264199,10.660896,30.033720999999986,200.32251,210.983398,3693.539307,180.155045,0.794624,180.949677,13
11,4.264199,10.673376,31.04177899999999,200.31424,210.98761,3693.465576,179.863815,0.082016,179.945831,13
