step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.598498,14.460096,785.218201,799.678284,1948.972534,762.314209,0.179296,762.493530,13
1,4.598498,13.444927,792.654785,806.099731,1933.446899,770.965454,1.041408,772.006836,13
1,4.598498,13.127104,797.216309,810.343384,1923.321533,775.767944,0.659456,776.427429,13
1,4.598498,14.942304,795.619019,810.561340,1922.804321,772.812622,0.906240,773.718872,13
2,4.304239,11.046464,794.214050,805.260498,1935.461792,773.149292,0.090944,773.240234,13
2,4.304239,10.624544,795.412415,806.036987,1933.597168,775.181213,0.682752,775.863953,13
2,4.304239,10.568352,795.238953,805.807312,1934.148560,774.783813,0.666624,775.450439,13
2,4.304239,10.774688,795.250061,806.024719,1933.626709,774.718262,0.388096,775.106445,13
3,3.877066,10.840672,798.834900,809.675598,1924.907959,778.117615,0.064512,778.182129,13
3,3.877066,10.610559,799.511292,810.121826,1923.847534,775.510681,0.376832,775.887512,13
3,3.877066,10.548161,799.751221,810.299377,1923.426025,779.518799,0.772096,780.290894,13
3,3.877066,10.723520,799.285950,810.009460,1924.114380,778.688232,0.265216,778.953491,13
4,3.868434,10.966752,808.006042,818.972778,1903.055908,786.953796,0.800768,787.754578,13
4,3.868434,11.011616,808.192505,819.204102,1902.518433,787.243591,1.338368,788.581970,13
4,3.868434,10.557536,808.779419,819.336975,1902.210083,788.133911,1.394688,789.528625,13
4,3.868434,10.903936,808.322388,819.226318,1902.466797,778.365845,0.094208,778.460083,13
5,3.955827,10.897440,799.917786,810.815247,1922.202148,779.235535,0.532480,779.768005,13
5,3.955827,10.577888,801.136414,811.714294,1920.073364,780.776123,0.746496,781.522705,13
5,3.955827,10.870016,800.888611,811.758606,1919.968628,780.351379,0.748544,781.099915,13
5,3.955827,10.908288,800.108521,811.016785,1921.724609,779.433899,0.080896,779.514771,13
6,3.859062,10.831968,797.625854,808.457825,1927.807251,776.586060,0.087040,776.673096,13
6,3.859062,10.601824,797.902283,808.504089,1927.697021,777.526855,0.899072,778.425903,13
6,3.859062,10.815712,797.020203,807.835938,1929.291382,776.714050,0.900096,777.614136,13
6,3.859062,10.791489,797.111572,807.903076,1929.131226,776.674438,0.400384,777.074829,13
7,3.770575,10.827136,796.013672,806.840820,1931.670898,775.567444,0.196608,775.764038,13
7,3.770575,10.649248,797.068542,807.717773,1929.573608,776.725891,0.356352,777.082214,13
7,3.770575,10.544512,797.941711,808.486206,1927.739624,777.709473,0.657408,778.366943,13
7,3.770575,10.778368,797.264648,808.043030,1928.796997,776.918579,0.069632,776.988220,13
8,3.277873,10.892288,797.466370,808.358643,1928.043823,776.804077,0.078848,776.882935,13
8,3.277873,10.872896,797.311157,808.184082,1928.460327,776.832031,0.882688,777.714722,13
8,3.277873,10.551329,798.053894,808.605225,1927.455811,777.818848,0.884736,778.703613,13
8,3.277873,10.742624,797.937866,808.680481,1927.276489,777.214783,0.125952,777.340759,13
9,3.461908,10.824800,800.020935,810.845764,1922.129883,779.861633,0.336832,780.198486,13
9,3.461908,10.635808,800.978882,811.614685,1920.308838,780.987366,0.505632,781.492981,13
9,3.461908,10.599136,801.329712,811.928833,1919.565918,781.345581,0.663552,782.009155,13
9,3.461908,10.812128,800.817139,811.629272,1920.274414,780.485352,0.064512,780.549866,13
10,3.650869,10.825600,798.932800,809.758423,1924.710938,777.792297,0.066560,777.858887,13
10,3.650869,10.648448,799.171387,809.819824,1924.565063,778.652344,0.816128,779.468445,13
10,3.650869,10.684992,798.332275,809.017273,1926.474243,777.460571,0.701440,778.161987,13
10,3.650869,10.776257,798.198914,808.975159,1926.574463,777.385742,0.352256,777.737915,13
11,3.954197,11.001152,796.265137,807.266296,1930.652832,775.075562,0.302080,775.377686,13
11,3.954197,10.633472,797.193726,807.827209,1929.312256,776.332642,0.592896,776.925537,13
11,3.954197,10.620001,797.080994,807.700989,1929.613770,776.191956,0.433152,776.625122,13
11,3.954197,10.687777,796.886780,807.574585,1929.915771,775.845581,0.073536,775.919128,13
12,3.889380,10.796032,800.133606,810.929626,1921.931152,779.678528,0.303104,779.981628,13
12,3.889380,10.629632,800.753845,811.383484,1920.856079,780.575745,0.617472,781.193237,13
12,3.889380,10.619424,800.777832,811.397278,1920.823608,780.643188,0.619520,781.262695,13
12,3.889380,10.745888,800.462463,811.208374,1921.270752,780.150757,0.082944,780.233704,13
