step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.608153,255.151764,61343.917969,61599.070312,50.603065,60971.273438,59.233280,61030.507812,13
2,4.282626,243.230591,81348.601562,81591.835938,38.203602,80988.460938,58.313728,81046.773438,13
3,3.916589,245.338333,81334.656250,81579.992188,38.209148,81001.625000,35.290112,81036.921875,13
4,3.948892,244.312119,81344.289062,81588.601562,38.205116,81002.992188,40.744961,81043.734375,13
5,3.828011,243.881134,81366.062500,81609.945312,38.195122,81022.164062,43.588608,81065.750000,13
6,3.894421,243.678314,81364.554688,81608.234375,38.195927,81023.992188,39.153664,81063.148438,13
7,3.687653,243.792374,81354.117188,81597.906250,38.200760,81014.406250,41.169922,81055.578125,13
8,3.390698,244.421204,81346.382812,81590.804688,38.204082,81006.093750,41.571327,81047.671875,13
9,3.846003,242.896698,81392.703125,81635.601562,38.183117,81058.242188,36.405247,81094.648438,13
10,3.683057,242.512344,81314.414062,81556.929688,38.219952,80972.234375,41.017345,81013.250000,13
11,3.691580,242.996994,81341.179688,81584.179688,38.207184,80997.164062,39.705601,81036.875000,13
