step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.646905,117.736282,54002.316406,54120.050781,28.798033,53813.468750,36.938751,53850.406250,13
2,4.366898,109.825569,81511.289062,81621.117188,19.094948,81315.078125,43.289600,81358.367188,13
3,3.928166,110.836868,81479.507812,81590.343750,19.102148,81297.726562,30.303232,81328.031250,13
4,3.787654,109.980385,81552.398438,81662.375000,19.085300,81220.976562,177.183746,81398.164062,13
5,3.513843,110.980644,81410.820312,81521.804688,19.118210,81222.750000,36.416512,81259.171875,13
6,3.812942,109.808899,81494.257812,81604.070312,19.098936,81300.718750,40.935425,81341.656250,13
7,3.790786,110.810013,81591.429688,81702.242188,19.075987,81377.281250,61.105152,81438.390625,13
8,3.593798,110.618073,81396.640625,81507.257812,19.121624,81209.031250,35.801086,81244.835938,13
9,3.563127,110.638588,81448.804688,81559.445312,19.109386,81260.859375,37.314560,81298.179688,13
10,3.349214,110.739685,81507.578125,81618.320312,19.095604,81323.320312,34.156544,81357.476562,13
11,3.498333,110.548065,81496.140625,81606.687500,19.098324,81308.445312,35.944447,81344.390625,13
