step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.608153,255.151764,568.5625,61343.917969,61599.070312,50.603065,60971.273438,59.23328,61030.507812,13
2,4.282626,243.230591,545.0625,81348.601562,81591.835938,38.203602,80988.460938,58.313728,81046.773438,13
3,3.916589,245.338333,543.0703130000038,81334.65625,81579.992188,38.209148,81001.625,35.290112,81036.921875,13
4,3.948892,244.312119,544.8671869999962,81344.289062,81588.601562,38.205116,81002.992188,40.744961,81043.734375,13
5,3.828011,243.881134,544.1953119999962,81366.0625,81609.945312,38.195122,81022.164062,43.588608,81065.75,13
6,3.894421,243.678314,545.0859369999962,81364.554688,81608.234375,38.195927,81023.992188,39.153664,81063.148438,13
7,3.687653,243.792374,542.328125,81354.117188,81597.90625,38.20076,81014.40625,41.169922,81055.578125,13
8,3.390698,244.421204,543.1328130000038,81346.382812,81590.804688,38.204082,81006.09375,41.571327,81047.671875,13
9,3.846003,242.896698,540.9531239999924,81392.703125,81635.601562,38.183117,81058.242188,36.405247,81094.648438,13
10,3.683057,242.512344,543.6796880000038,81314.414062,81556.929688,38.219952,80972.234375,41.017345,81013.25,13
11,3.69158,242.996994,547.3046880000038,81341.179688,81584.179688,38.207184,80997.164062,39.705601,81036.875,13
