step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.679526,11.590240,782.481689,794.071899,981.366333,763.930054,0.079840,764.009888,13
1,4.679526,11.051904,789.063477,800.115356,973.953918,772.679443,0.156672,772.836182,13
1,4.679526,10.872448,794.004944,804.877380,968.191528,777.570190,0.234496,777.804688,13
1,4.679526,11.621056,793.884033,805.505066,967.437134,775.665710,0.083968,775.749695,13
2,4.247883,9.110048,798.642822,807.752869,964.744934,782.155762,0.068672,782.224487,13
2,4.247883,8.412256,800.745605,809.157837,963.069824,784.903870,0.429056,785.332947,13
2,4.247883,8.350945,799.890747,808.241699,964.161377,784.250671,0.519040,784.769714,13
2,4.247883,8.938656,799.049988,807.988647,964.463379,782.472900,0.131072,782.604004,13
3,3.760069,8.712608,794.611877,803.324463,970.063171,778.198975,0.165632,778.364624,13
3,3.760069,8.510816,795.449768,803.960571,969.295654,779.681458,0.087040,779.768494,13
3,3.760069,8.657120,795.180481,803.837585,969.443909,778.964966,0.076800,779.041748,13
3,3.760069,8.395424,795.699341,804.094788,969.133850,780.315247,0.258048,780.573303,13
4,4.198146,8.642241,796.611389,805.253601,967.739197,780.539368,0.182272,780.721619,13
4,4.198146,8.569280,795.920898,804.490173,968.657532,780.640198,0.515072,781.155273,13
4,4.198146,8.511584,796.309448,804.821045,968.259277,781.266785,0.392192,781.658997,13
4,4.198146,8.569536,796.440796,805.010315,968.031677,780.561890,0.080896,780.642822,13
5,3.870170,8.733216,790.389893,799.123108,975.163208,773.545593,0.175104,773.720703,13
5,3.870170,8.438175,791.206421,799.644592,974.527283,774.552917,0.185344,774.738281,13
5,3.870170,8.589536,790.629639,799.219177,975.045959,774.268860,0.580448,774.849304,13
5,3.870170,8.622080,790.700439,799.322510,974.919983,773.784241,0.082944,773.867188,13
6,3.911231,8.796160,792.343018,801.139160,972.709229,771.825562,0.202752,772.028320,13
6,3.911231,8.626848,792.569397,801.196228,972.639954,777.381470,0.570368,777.951843,13
6,3.911231,8.410592,793.176086,801.586670,972.166199,778.038086,0.572416,778.610474,13
6,3.911231,8.615393,792.979431,801.594849,972.156311,776.339233,0.077824,776.416992,13
7,3.741947,8.798944,794.024170,802.823120,970.668945,777.252747,0.075776,777.328552,13
7,3.741947,8.673088,794.341248,803.014343,970.437805,778.720703,0.379904,779.100586,13
7,3.741947,8.552192,794.633728,803.185913,970.230469,778.709961,0.529408,779.239380,13
7,3.741947,9.002785,793.977173,802.979980,970.479309,777.806824,0.423936,778.230774,13
8,3.621053,8.729504,793.628357,802.357849,971.231812,777.656128,0.088064,777.744202,13
8,3.621053,8.605247,794.023376,802.628601,970.904236,779.091553,0.244544,779.336121,13
8,3.621053,8.479968,794.029846,802.509827,971.047913,778.801880,0.177152,778.979004,13
8,3.621053,8.930624,793.515442,802.446045,971.125061,777.921326,0.241664,778.162964,13
9,3.720993,8.807648,793.397949,802.205627,971.416138,776.999878,0.065536,777.065430,13
9,3.720993,8.397696,793.918762,802.316467,971.281860,778.214111,0.372736,778.586853,13
9,3.720993,8.396768,794.401428,802.798218,970.699036,778.566528,0.443392,779.009949,13
9,3.720993,8.825056,793.899170,802.724243,970.788513,778.031128,0.091136,778.122253,13
10,3.973499,8.700704,799.316589,808.017273,964.429199,782.559265,0.282624,782.841919,13
10,3.973499,8.810464,799.078064,807.888550,964.582825,782.872742,0.335872,783.208618,13
10,3.973499,8.442912,799.974854,808.417786,963.951416,784.372498,0.331776,784.704285,13
10,3.973499,8.654464,799.756348,808.410828,963.959717,783.338318,0.074752,783.413086,13
11,4.155493,8.969536,797.643799,806.613342,966.107849,781.398010,0.058368,781.456360,13
11,4.155493,8.393952,799.002014,807.395996,965.171326,783.365845,0.449440,783.815308,13
11,4.155493,8.553440,797.896729,806.450195,966.303284,782.354309,0.430080,782.784363,13
11,4.155493,8.946912,797.152588,806.099487,966.723694,780.947388,0.148480,781.095947,13
12,3.579980,8.718143,793.470093,802.188232,971.437195,777.299866,0.081920,777.381775,13
12,3.579980,8.450592,793.750122,802.200684,971.422119,778.581665,0.501632,779.083252,13
12,3.579980,8.432864,794.498108,802.930969,970.538635,779.238220,0.385024,779.623230,13
12,3.579980,8.866144,793.975769,802.841919,970.646240,778.436340,0.382976,778.819336,13
13,3.902158,8.983264,795.288208,804.271484,968.920898,778.660156,0.071680,778.731812,13
13,3.902158,8.360064,796.538452,804.898499,968.166138,780.737183,0.443392,781.180603,13
13,3.902158,8.396160,796.023804,804.419983,968.742004,779.766541,0.451584,780.218140,13
13,3.902158,8.670432,795.366638,804.037048,969.203430,779.251587,0.216064,779.467651,13
14,3.342906,8.796992,799.524658,808.321655,964.066101,782.422852,0.154624,782.577515,13
14,3.342906,8.441441,800.247314,808.688782,963.628418,784.508972,0.185344,784.694336,13
14,3.342906,8.898592,799.008728,807.907349,964.560425,782.859131,0.571392,783.430542,13
14,3.342906,8.677568,799.549622,808.227173,964.178711,781.606750,0.074752,781.681519,13
15,3.675077,8.777728,792.759888,801.537598,972.225769,775.961121,0.081920,776.043030,13
15,3.675077,8.801920,793.190308,801.992249,971.674561,777.035645,0.417792,777.453369,13
15,3.675077,8.676384,793.459045,802.135437,971.501160,778.064575,0.470016,778.534607,13
15,3.675077,8.675200,793.267212,801.942383,971.734985,776.775818,0.180224,776.956055,13
16,3.969574,8.823232,792.601379,801.424622,972.362732,775.116516,0.065536,775.182068,13
16,3.969574,8.458976,793.019226,801.478210,972.297729,776.958496,0.560960,777.519531,13
16,3.969574,8.425505,793.616577,802.042053,971.614197,778.038818,0.633760,778.672607,13
16,3.969574,8.680768,793.238098,801.918884,971.763489,777.239319,0.215040,777.454346,13
17,3.728446,9.057056,791.958130,801.015198,972.859741,775.011108,0.069632,775.080811,13
17,3.728446,8.353216,793.423279,801.776489,971.936035,777.717651,0.199680,777.917358,13
17,3.728446,8.400032,793.176941,801.576965,972.177917,777.957275,0.290816,778.248169,13
17,3.728446,8.672672,792.731323,801.403992,972.387756,776.439331,0.109568,776.548889,13
18,3.947397,8.772608,794.865479,803.638062,969.684631,778.144287,0.077568,778.221802,13
18,3.947397,8.419360,795.991211,804.410583,968.753418,780.369629,0.516096,780.885742,13
18,3.947397,8.444064,795.806641,804.250732,968.945984,780.169067,0.471040,780.640137,13
18,3.947397,8.639552,795.505493,804.145020,969.073303,779.361206,0.130048,779.491211,13
19,3.493841,8.859776,795.043640,803.903442,969.364502,778.802734,0.063488,778.866211,13
19,3.493841,8.489248,796.024353,804.513611,968.629272,780.859741,0.282624,781.142334,13
19,3.493841,8.371392,795.926086,804.297485,968.889587,780.558350,0.284672,780.843018,13
19,3.493841,8.593568,795.741516,804.335083,968.844299,779.068359,0.181248,779.249634,13
20,3.841737,8.747552,796.334778,805.082336,967.945068,780.246277,0.067584,780.313843,13
20,3.841737,8.780160,796.184448,804.964600,968.086670,780.925537,0.466944,781.392456,13
20,3.841737,8.382848,796.339417,804.722290,968.378113,781.189026,0.455680,781.644714,13
20,3.841737,8.616960,796.019409,804.636353,968.481567,779.990479,0.109568,780.100098,13
21,3.731646,9.239777,784.966431,794.206238,981.200317,767.998779,0.129024,768.127808,13
21,3.731646,9.385281,791.337830,800.723083,973.214722,774.713989,0.594976,775.308960,13
21,3.731646,9.288736,795.300293,804.589050,968.538513,778.725037,0.723968,779.448975,13
21,3.731646,9.494496,795.338989,804.833496,968.244324,778.251221,0.106496,778.357788,13
22,3.483478,8.834176,796.348633,805.182800,967.824219,780.021362,0.068608,780.089966,13
22,3.483478,8.424160,797.335388,805.759521,967.131531,781.148865,0.265216,781.414062,13
22,3.483478,8.491264,797.249756,805.741028,967.153809,781.971313,0.340992,782.312317,13
22,3.483478,8.633376,796.901184,805.534546,967.401672,781.234375,0.294816,781.529175,13
23,3.748069,8.928224,796.350159,805.278381,967.709412,778.548035,0.069632,778.617676,13
23,3.748069,8.461760,796.963867,805.425598,967.532532,780.768738,0.874496,781.643250,13
23,3.748069,8.376608,797.446106,805.822693,967.055786,781.486084,0.785408,782.271484,13
23,3.748069,8.600513,797.141785,805.742310,967.152222,780.524292,0.563200,781.087524,13
24,3.381248,8.840128,795.094604,803.934753,969.326782,777.593689,0.074752,777.668457,13
24,3.381248,8.476160,795.342468,803.818604,969.466858,779.324036,0.806720,780.130737,13
24,3.381248,8.422688,795.424194,803.846863,969.432739,779.435608,0.583680,780.019287,13
24,3.381248,8.582304,795.147766,803.730042,969.573608,777.842712,0.494464,778.337158,13
25,3.474747,9.010143,795.044495,804.054626,969.182312,778.150024,0.157696,778.307739,13
25,3.474747,8.428288,796.378113,804.806396,968.276917,780.337280,0.581632,780.918884,13
25,3.474747,8.366048,796.705261,805.071289,967.958313,780.421753,0.611328,781.033081,13
25,3.474747,8.603776,796.540283,805.144043,967.870850,779.343872,0.066592,779.410461,13
26,3.786038,8.795200,795.903259,804.698486,968.406799,779.719849,0.066560,779.786438,13
26,3.786038,8.412832,796.230225,804.643066,968.473450,780.869507,0.374784,781.244263,13
26,3.786038,8.445376,796.403015,804.848389,968.226440,781.237061,0.379904,781.616943,13
26,3.786038,8.857600,795.974365,804.831970,968.246155,779.895630,0.090112,779.985718,13
27,3.542748,8.697856,792.928040,801.625916,972.118652,776.579102,0.096256,776.675415,13
27,3.542748,8.372065,793.348877,801.720947,972.003357,777.914185,0.397312,778.311523,13
27,3.542748,8.366912,792.755798,801.122681,972.729309,777.250610,0.397312,777.647949,13
27,3.542748,8.681889,792.656311,801.338196,972.467651,776.243042,0.114688,776.357727,13
28,3.617290,8.813152,795.658386,804.471558,968.679932,779.184998,0.102400,779.287415,13
28,3.617290,8.359168,796.656006,805.015198,968.025757,781.177856,0.527360,781.705200,13
28,3.617290,8.430976,797.224609,805.655579,967.256287,781.623047,0.401408,782.024475,13
28,3.617290,8.598145,796.886292,805.484436,967.461914,780.514282,0.075744,780.590088,13
29,3.490332,8.770208,793.871094,802.641296,970.888855,777.062012,0.066464,777.128479,13
29,3.490332,8.681280,794.726074,803.407349,969.963074,779.417297,0.312064,779.729370,13
29,3.490332,8.384928,795.129578,803.514526,969.833679,779.637634,0.294912,779.932556,13
29,3.490332,8.584512,794.914001,803.498535,969.853027,778.744751,0.150528,778.895264,13
30,3.406114,8.662304,795.644653,804.306946,968.878235,778.727112,0.080896,778.807983,13
30,3.406114,8.505760,795.241089,803.746826,969.553406,779.130188,0.627712,779.757874,13
30,3.406114,8.401952,795.741821,804.143799,969.074829,780.115906,0.631936,780.747864,13
30,3.406114,8.587680,795.659424,804.247131,968.950195,779.089050,0.425984,779.515015,13
31,3.511844,8.683840,796.036865,804.720703,968.380066,779.532593,0.064352,779.596924,13
31,3.511844,8.373248,796.884766,805.257996,967.733948,781.761230,0.336800,782.098022,13
31,3.511844,8.381248,796.211792,804.593018,968.533752,780.649353,0.350208,780.999573,13
31,3.511844,8.550112,796.033936,804.584045,968.544556,780.074951,0.084992,780.160034,13
32,3.418869,8.738592,793.508728,802.247314,971.365662,776.380005,0.137216,776.517212,13
32,3.418869,8.432032,793.487732,801.919739,971.762390,777.762085,0.533504,778.295593,13
32,3.418869,8.414080,793.222534,801.636597,972.105713,777.906067,0.391040,778.297119,13
32,3.418869,8.583776,792.835144,801.418945,972.369629,776.421143,0.143296,776.564453,13
33,3.509674,8.686240,790.768738,799.454956,974.758484,773.575439,0.211968,773.787476,13
33,3.509674,8.406591,791.376526,799.783142,974.358459,775.433777,0.536288,775.970093,13
33,3.509674,8.410400,792.405396,800.815796,973.101990,776.713989,0.536576,777.250549,13
33,3.509674,8.613152,792.339355,800.952515,972.935913,775.111511,0.072768,775.184265,13
34,2.982652,8.743680,795.796570,804.540222,968.597290,778.809937,0.066560,778.876526,13
34,2.982652,8.380896,796.506531,804.887451,968.179382,780.574219,0.740352,781.314575,13
34,2.982652,8.369920,795.873169,804.243103,968.955139,780.336792,0.742400,781.079102,13
34,2.982652,8.932545,795.037231,803.969788,969.284546,778.532776,0.329632,778.862427,13
35,3.872645,8.795072,796.752502,805.547546,967.386047,780.497681,0.077824,780.575562,13
35,3.872645,8.373984,797.706970,806.080933,966.745911,782.494507,0.522240,783.016724,13
35,3.872645,8.738688,797.513916,806.252625,966.540161,782.254028,0.222368,782.476379,13
35,3.872645,8.591681,797.488525,806.080200,966.746765,780.766052,0.240480,781.006531,13
36,3.402535,8.697856,792.411194,801.109070,972.745789,775.681274,0.069408,775.750671,13
36,3.402535,8.419424,792.496155,800.915588,972.980774,777.068787,0.490496,777.559265,13
36,3.402535,8.627647,793.041748,801.669373,972.065918,777.691467,0.472064,778.163513,13
36,3.402535,8.617472,792.997925,801.615417,972.131348,776.809387,0.119712,776.929077,13
37,3.771652,8.886976,792.955811,801.842773,971.855774,776.312622,0.070656,776.383301,13
37,3.771652,8.401567,793.487183,801.888733,971.800049,777.319336,0.161792,777.481140,13
37,3.771652,8.408159,793.006958,801.415100,972.374329,777.294800,0.449376,777.744263,13
37,3.771652,8.659072,792.733398,801.392456,972.401794,776.125061,0.079872,776.204956,13
38,3.821177,8.724064,791.244629,799.968689,974.132507,774.350525,0.097280,774.447815,13
38,3.821177,8.362304,792.283081,800.645386,973.309082,776.775330,0.666624,777.441956,13
38,3.821177,8.645856,791.919373,800.565247,973.406616,776.537903,0.667648,777.205566,13
38,3.821177,8.615488,791.840454,800.455933,973.539490,775.492615,0.398336,775.890930,13
39,3.245039,8.788448,796.267273,805.055725,967.976990,779.602905,0.081920,779.684814,13
39,3.245039,8.367872,796.886963,805.254822,967.737732,781.334290,0.345088,781.679382,13
39,3.245039,8.381856,796.574524,804.956360,968.096558,780.520203,0.432128,780.952332,13
39,3.245039,8.555904,796.354065,804.909973,968.152405,780.315613,0.092160,780.407776,13
40,3.509601,8.672000,794.900940,803.572937,969.763184,777.577332,0.343904,777.921265,13
40,3.509601,8.363264,795.440491,803.803772,969.484680,779.565796,0.548864,780.114624,13
40,3.509601,8.429216,795.267822,803.697021,969.613464,779.752625,0.659456,780.412109,13
40,3.509601,8.600256,795.001953,803.602234,969.727844,778.767212,0.082944,778.850098,13
