step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.535924,406.43811,1064.252075,657.813965,1064.252075,2928.913086,0.0,0.0,0.0,13
2,4.048942,407.054657,1078.651123,671.596436,1078.651123,2889.814941,0.0,0.0,0.0,13
3,4.150326,433.875793,1117.780029,683.904236,1117.780029,2788.654297,0.0,0.0,0.0,13
4,3.605633,401.513672,1078.537354,677.023682,1078.537354,2890.119629,0.0,0.0,0.0,13
5,3.680245,400.221069,1061.356201,661.135132,1061.356201,2936.904541,0.0,0.0,0.0,13
6,3.901274,407.402985,1066.7146,659.311646,1066.7146,2922.151611,0.0,0.0,0.0,13
7,4.022502,409.978729,1070.515991,660.537231,1070.515991,2911.775146,0.0,0.0,0.0,13
8,3.556356,404.598663,1064.996948,660.398315,1064.996948,2926.864502,0.0,0.0,0.0,13
9,3.911746,404.625702,1069.722168,665.096436,1069.722168,2913.935791,0.0,0.0,0.0,13
10,3.620551,403.91745,1064.633667,660.716187,1064.633667,2927.863525,0.0,0.0,0.0,13
11,4.018482,404.039764,1061.7948,657.755005,1061.7948,2935.691406,0.0,0.0,0.0,13
