step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.399654,133.671646,179.039017,312.710663,2492.001465,0.000000,0.000000,0.000000,13
2,4.774741,119.710693,177.923920,297.634613,2618.228760,0.000000,0.000000,0.000000,13
3,3.675808,118.158554,166.138046,284.296600,2741.064941,0.000000,0.000000,0.000000,13
4,3.979994,114.244194,171.693634,285.937836,2725.331543,0.000000,0.000000,0.000000,13
5,3.988225,121.223450,178.861816,300.085266,2596.846680,0.000000,0.000000,0.000000,13
6,3.533296,120.575653,178.774750,299.350403,2603.221436,0.000000,0.000000,0.000000,13
7,3.875380,116.894501,166.687897,283.582397,2747.968506,0.000000,0.000000,0.000000,13
8,3.750025,113.602623,165.751007,279.353638,2789.566162,0.000000,0.000000,0.000000,13
9,3.597997,112.357948,177.951630,290.309570,2684.291504,0.000000,0.000000,0.000000,13
10,3.646628,111.997925,166.518250,278.516174,2797.954102,0.000000,0.000000,0.000000,13
11,4.104315,111.415390,168.404129,279.819519,2784.921631,0.000000,0.000000,0.000000,13
