step,loss,computation_time_ms,pure_computation_time,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.598263,77.383263,161.1328130000038,98384.796875,98462.179688,15.82893,98167.976562,133.072891,98301.046875,13
2,4.303759,66.839615,147.7734369999962,122554.179688,122621.015625,12.710308,122086.125,387.116028,122473.242188,13
3,3.877976,66.788765,148.765625,122272.882812,122339.671875,12.739539,121820.671875,370.23233,122190.90625,13
4,3.868014,64.988701,146.5,122620.429688,122685.421875,12.703635,122114.335938,424.58316,122538.921875,13
5,3.956136,67.041412,148.2421869999962,122323.5,122390.539062,12.734243,121955.921875,286.372864,122242.296875,13
6,3.859155,65.297409,146.8984369999962,122448.273438,122513.570312,12.721456,121907.820312,458.852356,122366.671875,13
7,3.770146,67.035011,148.3671880000038,122556.429688,122623.460938,12.710055,122036.0,439.091187,122475.09375,13
8,3.278362,66.637283,149.84375,122312.96875,122379.609375,12.735381,121941.25,288.507904,122229.765625,13
9,3.462553,70.255363,153.453125,122438.773438,122509.03125,12.721928,122018.828125,336.75058,122355.578125,13
10,3.65091,65.280159,146.453125,122605.90625,122671.1875,12.70511,122196.804688,327.930878,122524.734375,13
11,3.954157,65.167488,145.8515619999962,122401.59375,122466.757812,12.726318,121952.578125,368.32666,122320.90625,13
