step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec,gradient_reduce_time_ms,loss_reduce_time_ms,total_pure_comm_time_ms,num_gradient_reductions
1,4.648418,74.080605,56733.183594,56807.265625,13.717884,56601.820312,50.060287,56651.882812,13
2,4.598141,65.264099,81545.484375,81610.750000,9.548686,81446.398438,14.870528,81461.265625,13
3,3.723624,68.541595,81485.109375,81553.648438,9.555372,81358.875000,40.200191,81399.078125,13
4,4.078612,69.773827,81528.453125,81598.226562,9.550152,81403.242188,39.007233,81442.250000,13
5,3.919976,65.735390,81508.820312,81574.554688,9.552923,81388.937500,38.726658,81427.656250,13
6,3.392395,65.890465,81527.367188,81593.257812,9.550735,81406.562500,40.164352,81446.718750,13
7,3.881979,64.686684,81566.523438,81631.210938,9.546293,81451.343750,33.799168,81485.140625,13
8,3.975906,65.846817,81533.218750,81599.062500,9.550055,81412.453125,40.792065,81453.250000,13
9,3.584838,66.820892,81513.304688,81580.125000,9.552271,81390.265625,39.268353,81429.531250,13
10,3.752237,65.649246,81540.421875,81606.070312,9.549234,81416.218750,40.794113,81457.007812,13
11,4.265281,65.103302,81544.375000,81609.476562,9.548836,81417.609375,43.255810,81460.867188,13
12,4.096059,67.929474,81534.164062,81602.093750,9.549699,81407.218750,42.228737,81449.453125,13
13,3.662828,65.967934,81440.570312,81506.539062,9.560896,81306.250000,51.764225,81358.015625,13
14,3.834960,68.083870,81590.914062,81659.000000,9.543045,81466.976562,41.160706,81508.132812,13
15,3.884147,68.862335,81501.257812,81570.117188,9.553444,81383.093750,34.428928,81417.531250,13
16,4.061918,67.825150,81536.445312,81604.273438,9.549445,81417.515625,36.430847,81453.937500,13
17,3.749999,68.094749,81544.210938,81612.304688,9.548505,81423.773438,39.472130,81463.250000,13
18,3.909238,67.414658,81517.257812,81584.671875,9.551739,81395.250000,41.017345,81436.265625,13
19,3.489104,68.386139,81554.617188,81623.000000,9.547254,81400.078125,69.969917,81470.046875,13
20,3.830250,69.226303,81497.000000,81566.226562,9.553900,81371.265625,41.900032,81413.164062,13
21,4.123678,65.711647,79441.304688,79507.015625,9.801342,79294.218750,62.981121,79357.195312,13
22,4.138798,67.922943,81563.132812,81631.054688,9.546310,81439.765625,40.954880,81480.718750,13
23,3.897913,65.888443,81472.992188,81538.882812,9.557102,81353.835938,36.021248,81389.859375,13
24,3.661093,67.686462,81576.179688,81643.867188,9.544813,81455.039062,40.046593,81495.085938,13
25,3.461077,69.518242,81509.187500,81578.703125,9.552437,81377.015625,50.415615,81427.429688,13
26,3.779878,65.352066,81512.304688,81577.656250,9.552560,81395.429688,35.169281,81430.593750,13
27,3.992994,65.367455,81521.539062,81586.906250,9.551476,81399.835938,40.096767,81439.937500,13
28,3.414652,67.376930,81652.539062,81719.914062,9.535931,81560.101562,10.956800,81571.062500,13
29,3.735128,67.081635,81419.515625,81486.593750,9.563235,81294.804688,43.184128,81337.984375,13
30,3.804518,65.176834,81480.398438,81545.578125,9.556318,81115.507812,283.777039,81399.281250,13
31,3.293575,65.128738,81584.679688,81649.804688,9.544119,81462.453125,40.731647,81503.187500,13
32,3.194351,67.340385,81516.773438,81584.117188,9.551805,81403.515625,31.228928,81434.742188,13
33,4.024302,65.418396,81544.773438,81610.195312,9.548751,81421.953125,40.414207,81462.367188,13
34,3.261437,65.200516,81539.523438,81604.726562,9.549391,81432.750000,25.622528,81458.367188,13
35,3.757244,65.275772,81505.984375,81571.257812,9.553309,81387.007812,35.619839,81422.625000,13
36,3.523077,67.209183,81546.562500,81613.773438,9.548332,81415.734375,49.213440,81464.953125,13
37,3.353194,67.072029,81509.773438,81576.843750,9.552655,81387.570312,40.728577,81428.296875,13
38,4.148122,65.201691,81541.531250,81606.734375,9.549156,81424.164062,36.462593,81460.625000,13
39,3.538139,65.522461,81547.015625,81612.539062,9.548477,81426.406250,39.276543,81465.687500,13
40,3.548397,65.229538,81509.265625,81574.492188,9.552931,81391.335938,36.346882,81427.687500,13
