step,loss,computation_time_ms,communication_time_ms,total_host_time_ms,gflops_per_sec,mfu_percentage
1,4.067367,203.972473,0.000000,251.870905,955.123327,-100.000000
2,5.075756,140.333466,0.000000,143.270984,1388.256653,-100.000000
3,4.314445,140.049118,0.000000,142.978057,1391.075288,-100.000000
4,4.221073,139.555481,0.000000,142.473623,1395.995814,-100.000000
5,4.174713,139.534042,0.000000,142.441177,1396.210300,-100.000000
6,3.672771,141.139587,0.000000,144.077629,1380.327595,-100.000000
7,4.520211,140.765472,0.000000,143.694712,1383.996117,-100.000000
8,4.453368,139.869766,0.000000,142.772671,1392.859032,-100.000000
9,4.391199,139.010239,0.000000,141.963170,1401.471353,-100.000000
10,4.252843,139.146820,0.000000,142.044997,1400.095720,-100.000000
11,3.718916,329.137054,0.000000,337.131685,591.908035,-100.000000
12,3.378784,140.311737,0.000000,143.720433,1388.471637,-100.000000
13,3.743277,139.579910,0.000000,142.912090,1395.751486,-100.000000
14,4.353409,139.414215,0.000000,142.757256,1397.410351,-100.000000
15,4.031331,140.179169,0.000000,143.544315,1389.784723,-100.000000
16,3.720587,142.121628,0.000000,145.584774,1370.789726,-100.000000
17,3.866894,140.375229,0.000000,143.740799,1387.843630,-100.000000
18,4.394333,143.094650,0.000000,146.530554,1361.468558,-100.000000
19,3.593976,138.965439,0.000000,142.288767,1401.923160,-100.000000
20,4.592167,145.891739,0.000000,149.379049,1335.365996,-100.000000
21,4.595012,366.955292,0.000000,376.482654,530.906275,-100.000000
22,3.836290,139.747910,0.000000,143.258911,1394.073570,-100.000000
23,4.014937,142.720734,0.000000,146.308532,1365.035494,-100.000000
24,3.328867,140.596710,0.000000,144.187854,1385.657366,-100.000000
25,4.491439,141.272064,0.000000,144.859947,1379.033203,-100.000000
26,3.982563,140.337692,0.000000,144.049440,1388.214841,-100.000000
27,3.262972,139.841797,0.000000,143.394559,1393.137614,-100.000000
28,4.095914,139.694626,0.000000,143.209529,1394.605311,-100.000000
29,4.150509,139.950912,0.000000,143.481644,1392.051425,-100.000000
30,4.553569,142.534180,0.000000,146.106699,1366.822103,-100.000000
31,4.461093,297.842102,0.000000,305.377604,654.101169,-100.000000
32,4.890162,139.945343,0.000000,143.461256,1392.106825,-100.000000
33,4.581813,141.145081,0.000000,144.702374,1380.273874,-100.000000
34,4.075408,142.695740,0.000000,146.288056,1365.274587,-100.000000
35,4.500626,138.493927,0.000000,141.983770,1406.696102,-100.000000
36,3.363866,139.505127,0.000000,143.075302,1396.499695,-100.000000
37,3.695698,139.827713,0.000000,143.345700,1393.277935,-100.000000
38,3.377593,139.604858,0.000000,143.303792,1395.502058,-100.000000
39,3.180970,139.531296,0.000000,143.058395,1396.237784,-100.000000
40,3.931502,139.402084,0.000000,142.915767,1397.531953,-100.000000
41,4.095712,264.289795,0.000000,271.041613,737.141089,-100.000000
42,4.183128,138.737091,0.000000,142.235520,1404.230590,-100.000000
43,4.035834,139.365631,0.000000,142.876012,1397.897499,-100.000000
44,4.356750,139.993668,0.000000,143.536485,1391.626282,-100.000000
45,3.885257,139.527359,0.000000,143.089646,1396.277179,-100.000000
46,4.184722,139.744797,0.000000,143.259426,1394.104623,-100.000000
47,4.088504,139.826553,0.000000,143.355946,1393.289490,-100.000000
48,4.180998,138.298874,0.000000,141.773005,1408.680069,-100.000000
49,4.390276,141.191330,0.000000,144.758040,1379.821744,-100.000000
50,4.380764,139.032379,0.000000,142.606434,1401.248172,-100.000000
51,4.305767,228.897247,0.000000,234.638041,851.119310,-100.000000
52,3.735976,139.478790,0.000000,142.941461,1396.763385,-100.000000
53,3.182151,140.047836,0.000000,143.503274,1391.088019,-100.000000
54,4.041819,139.586533,0.000000,143.042948,1395.685268,-100.000000
55,3.498878,149.518021,0.000000,153.238934,1302.979175,-100.000000
56,3.496458,139.409927,0.000000,142.924154,1397.453330,-100.000000
57,4.294991,141.923935,0.000000,145.501877,1372.699167,-100.000000
58,4.117444,139.662247,0.000000,143.128356,1394.928635,-100.000000
59,3.382199,140.410980,0.000000,143.905431,1387.490258,-100.000000
60,3.095632,139.806015,0.000000,143.274903,1393.494172,-100.000000
61,4.030681,244.655838,0.000000,250.776088,796.297643,-100.000000
62,4.496492,140.029343,0.000000,143.480231,1391.271740,-100.000000
