step,loss,computation_time_ms,communication_time_ms,total_time_ms,gflops_per_sec
1,4.677649,19664.816904,0.000000,19664.816904,9.722694
2,5.190830,16289.299592,0.000000,16289.299592,11.737459
3,4.437739,19036.673292,0.000000,19036.673292,10.043508
4,4.138213,15601.774452,0.000000,15601.774452,12.254695
5,4.144533,16458.467713,0.000000,16458.467713,11.616816
6,3.834246,15696.137289,0.000000,15696.137289,12.181022
7,4.297795,16419.725655,0.000000,16419.725655,11.644226
8,4.280394,18834.524879,0.000000,18834.524879,10.151304
9,4.249561,18090.733261,0.000000,18090.733261,10.568670
10,4.392188,15696.867962,0.000000,15696.867962,12.180455
11,3.911198,16825.833061,0.000000,16825.833061,11.363181
12,3.738631,16519.901640,0.000000,16519.901640,11.573615
13,3.840884,19400.364982,0.000000,19400.364982,9.855226
14,4.367394,19319.726670,0.000000,19319.726670,9.896361
15,4.130939,19907.805661,0.000000,19907.805661,9.604021
16,4.013472,18170.614558,0.000000,18170.614558,10.522208
17,3.796318,16045.705445,0.000000,16045.705445,11.915649
18,4.357057,18896.094920,0.000000,18896.094920,10.118228
19,3.766616,16431.106422,0.000000,16431.106422,11.636160
20,4.552444,16601.608113,0.000000,16601.608113,11.516655
21,4.530053,20793.389001,0.000000,20793.389001,9.194989
22,4.067401,39174.362435,0.000000,39174.362435,4.880615
23,3.969010,19863.845395,0.000000,19863.845395,9.625276
24,3.450136,22542.530752,0.000000,22542.530752,8.481523
25,4.493859,17947.406599,0.000000,17947.406599,10.653071
26,4.036770,18644.091282,0.000000,18644.091282,10.254991
27,3.442925,17303.946494,0.000000,17303.946494,11.049213
28,3.993679,19114.142031,0.000000,19114.142031,10.002803
29,4.201677,19303.161705,0.000000,19303.161705,9.904853
30,4.542442,19665.710249,0.000000,19665.710249,9.722252
31,4.306015,24914.638510,0.000000,24914.638510,7.674002
32,4.854150,19087.341455,0.000000,19087.341455,10.016848
33,4.583709,22489.750515,0.000000,22489.750515,8.501428
34,4.122868,28693.930248,0.000000,28693.930248,6.663256
35,4.334546,21811.745645,0.000000,21811.745645,8.765689
36,3.401594,17978.257059,0.000000,17978.257059,10.634790
37,3.661727,19910.859319,0.000000,19910.859319,9.602548
38,3.331205,21891.145538,0.000000,21891.145538,8.733896
39,3.570896,18659.983806,0.000000,18659.983806,10.246257
